file,low_dab_mean,low_dab_std,low_dab_rgb_mean,low_dab_rgb_std,high_dab_mean,high_dab_std,high_dab_rgb_mean,high_dab_rgb_std
"CyclinD1/3. WT, WD/TY166/CyclinD1_TY166_2.vmic.20020.tif Snapshot 3.tif",0.0612128340187662,0.0184330433217845,123.48942495241224,25.31418247162849,0.1461860059944058,0.0353214007691189,71.39451696594556,14.513363604021162
"CyclinD1/3. WT, WD/TY166/CyclinD1_TY166_2.vmic.20020.tif Snapshot 4.tif",0.0631398525640497,0.0194443310886834,125.56271338497642,24.852941265937915,0.1527724082182667,0.0372657638824712,72.88636919637189,14.060497234902634
"CyclinD1/3. WT, WD/TY51/CyclinD1_TY51_1.vmic.20020.tif Snapshot 1.tif",0.0319755942828156,0.0118651876847617,157.95287915175695,27.080359535694217,0.0958113419591166,0.0312442305128203,103.67072463768116,22.438643557246834
"CyclinD1/3. WT, WD/TY51/CyclinD1_TY51_1.vmic.20020.tif Snapshot 2.tif",0.0299821563069186,0.0112003628813855,162.02782869301012,27.35705892255428,0.0918826676950262,0.0309010827597624,105.8750102832698,23.09834919950625
"CyclinD1/3. WT, WD/TY51/CyclinD1_TY51_1.vmic.20020.tif Snapshot 3.tif",0.0291657032753271,0.010537903318994,159.28402167212795,25.85036955599965,0.0875386364923426,0.0281646273769379,107.60555725745148,22.05067743478576
"CyclinD1/3. WT, WD/TY51/CyclinD1_TY51_1.vmic.20020.tif Snapshot 4.tif",0.0312326707911619,0.0117152915730545,160.9870467260757,29.885026857860343,0.0971386926422291,0.0294328582706562,101.9857302066042,19.307490380564165
"CyclinD1/4. KO, WD/NK1/CyclinD1_NK1_1.vmic.18980.tif Snapshot 1.tif",0.0360396404761651,0.0061534639250665,179.0149749870425,16.06758971364679,0.062515107945077,0.0183069995147397,143.6136826060203,22.729327551236004
"CyclinD1/4. KO, WD/NK1/CyclinD1_NK1_1.vmic.18980.tif Snapshot 2.tif",0.0361724329808946,0.0061008871545851,178.12752428628684,15.966875732683365,0.0645308416724738,0.0184581650128028,139.64291481309965,23.224941596122147
"CyclinD1/4. KO, WD/NK1/CyclinD1_NK1_1.vmic.18980.tif Snapshot 3.tif",0.0404717868175797,0.0060197284659689,175.19262287556873,15.698700787103787,0.064721683973688,0.0153998037257445,146.52138565753597,19.523606718385288
"CyclinD1/4. KO, WD/NK1/CyclinD1_NK1_1.vmic.18980.tif Snapshot 4.tif",0.0498437877560703,0.008587844371183,165.22660940796194,16.03546487903865,0.0920816368657342,0.025908283420109,120.55599923540606,21.434087565368632
"CyclinD1/4. KO, WD/NK2/CyclinD1_NK2_1.vmic.18980.tif Snapshot 1.tif",0.0421716929090647,0.0057464416214098,175.00197202545843,14.59491461884228,0.064410967472293,0.0138024918123991,150.17491896935786,18.346601977120788
"CyclinD1/4. KO, WD/NK2/CyclinD1_NK2_1.vmic.18980.tif Snapshot 2.tif",0.0360310423654902,0.0057803991869169,182.8336709050268,15.089322278982136,0.0574536798589054,0.0122579725941678,158.71044770883967,17.673000025499892
"CyclinD1/4. KO, WD/NK2/CyclinD1_NK2_1.vmic.18980.tif Snapshot 3.tif",0.0390534692421764,0.0061603156645403,180.66007047301,14.898029271582908,0.0615217409879276,0.0122858148460961,156.0667821329417,16.73509810987165
"CyclinD1/4. KO, WD/NK2/CyclinD1_NK2_1.vmic.18980.tif Snapshot 4.tif",0.0416065271278677,0.0068175676809441,178.7328601242057,14.545652548129798,0.0671860216628299,0.0151326165532136,150.97832470333248,17.337602389919486
"CyclinD1/4. KO, WD/TY165/CyclinD1_TY165_1.vmic.20020.tif Snapshot 1.tif",0.0355844796072036,0.010303750512326,148.58243627744417,25.89916667577113,0.087218359963748,0.0260793574386846,103.03676910474825,19.86910662052252
"CyclinD1/4. KO, WD/TY165/CyclinD1_TY165_1.vmic.20020.tif Snapshot 2.tif",0.0386082443252815,0.0121614921650944,154.89101816620558,27.55283733878112,0.1027980120847297,0.032216653866616,98.56693110516515,19.44871892671198
"CyclinD1/4. KO, WD/TY165/CyclinD1_TY165_1.vmic.20020.tif Snapshot 3.tif",0.0462023387236142,0.0144026269473842,146.68613417825395,28.17888886455904,0.1208982931883351,0.0353121567620911,87.77801651303898,18.400012623826168
"CyclinD1/4. KO, WD/TY165/CyclinD1_TY165_1.vmic.20020.tif Snapshot 4.tif",0.0319543648659713,0.010918093952668,170.0903719825487,30.172584455505728,0.0962312572148378,0.03243407397066,103.80589508336638,20.48972170433822
"CyclinD1/4. KO, WD/TY52/CyclinD1_TY52_1.vmic.20020.tif Snapshot 1.tif",0.0129018124993353,0.0036549660238822,203.4595982162562,26.361267381987343,0.0663404910267871,0.0298743283846682,108.9582260603972,27.167794872440552
"CyclinD1/4. KO, WD/TY52/CyclinD1_TY52_1.vmic.20020.tif Snapshot 2.tif",0.0128923176824671,0.0037471817077677,204.11274659794248,26.031546192511808,0.066802241132518,0.0303784355808911,110.68589514916238,27.417530383294505
"Cyp1a2/1. WT, Chow/ASV57/Cyp1a2_ASV57_2.vmic.18820.tif Snapshot 1.tif",0.0141965614469433,0.0023233196227545,177.05756904872652,17.587969908468388,0.0235322804482247,0.005502689212634,161.90305862829032,14.970880810017873
"Cyp1a2/1. WT, Chow/ASV57/Cyp1a2_ASV57_2.vmic.18820.tif Snapshot 2.tif",0.0149762277124621,0.0027251865253296,174.6325534206739,18.608497111488703,0.0252996072721292,0.0058990772205907,157.5642741312928,14.87725336698102
"Cyp1a2/1. WT, Chow/NK41/Cyp1a2_NK41_1.vmic.18980.tif Snapshot 1.tif",0.0566987664590904,0.0108780542573853,162.04179604602317,15.698680053898348,0.0972865879980311,0.0212131206502581,126.60517900116848,15.851726970340856
"Cyp1a2/1. WT, Chow/NK41/Cyp1a2_NK41_1.vmic.18980.tif Snapshot 2.tif",0.0543063845666463,0.009568453100993,164.32177510591228,14.810629121882846,0.0880412859922097,0.015259168105161,133.16874195316117,13.484542452244076
"Cyp1a2/1. WT, Chow/NK41/Cyp1a2_NK41_1.vmic.18980.tif Snapshot 3.tif",0.0557648656214814,0.0098154294266211,164.0875302090087,14.575090614924342,0.0910293549661765,0.0170865240330763,132.4895649470423,13.963839541700656
"Cyp1a2/1. WT, Chow/NK42/Cyp1a2_NK42_1.vmic.18980.tif Snapshot 1.tif",0.0550314458292344,0.0101143240396802,164.70414271865323,14.330335301365958,0.0956946170610929,0.0204055696705598,128.7890763177221,15.815716137141315
"Cyp1a2/1. WT, Chow/NK42/Cyp1a2_NK42_1.vmic.18980.tif Snapshot 2.tif",0.0494930140347206,0.0085730642370321,167.51266495746108,15.179080894322109,0.0827864190981906,0.0168091228872234,135.90696689325443,15.048952837284428
"Cyp1a2/1. WT, Chow/NK42/Cyp1a2_NK42_1.vmic.18980.tif Snapshot 3.tif",0.05185289086545,0.0092386263145724,164.0989400526278,14.83607951702539,0.0883428001397586,0.0170157867001911,131.33613486118048,14.294744893493627
"Cyp1a2/1. WT, Chow/NK43/Cyp1a2_NK43_1.vmic.18980.tif Snapshot 1.tif",0.0487596066723668,0.0081253898847547,169.49211727355106,13.485081993982442,0.0789622639418367,0.0139361779726636,140.68591995700993,12.771700733909425
